Product,Consumer Complaint
Debt collection,"Payments were paid to XXXX funds, and my loan was sent to collections anyway."
Credit reporting,I submited a written dispute to the credit bureau and they stated the creditor has verified the accuracy but they have not showed proof of verification. I also have paperwork showing that the information they verified is not true.
Credit card,"I have an excellent credit and chase credit card charge me a 27.99 % interest rate and I was told they can not lower my interest because when I open the account, that 's how the interest rate was, that 's more than 10 years ago, I told them that I am always on time making my payment and never late, I was thank for that, and XXXX XXXX a supervisor said he can not help me with that, this is not right, I ask what is the interest rate for a person with bad credit 50-60 %, apr or what is it, I told them iam am even tempted to default in the account, this is robbery and abuse for the consumers, you want us to fail on this difficult time"
Credit card,I attempted to pay my bill for my Target Red card online. After 5 days after processing my payment i receive a letter stating that my payment was rejected. I logged onto my Target account and noticed a {$25.00} returned payment fee so I contacted Target customer service. After confirming that my banking information was correct they informed me that they could not refund the fee.
Credit reporting,I filed for Chapter XXXX bankruptcy in 2009 and the accounts that were included in the case were listed as charge-off status. XXXX have the accounts listed as closed charge off. But after several disputes Equifax keeps listing the accounts as still open with no closed date. Therefore it is still showing up as an open charge off account and reporting as late and not closed on my credit report.
Debt collection,"I spoke with the collection agency person named XXXX XXXX and she was completely abusive and unwilling to work with me on anything. Told me she pulled my credit report and she proceeded to tell me that I was current with all other payments, which I was not. When I asked if I could make a payment arrangement she said, "" You have NO money! How do you want to make a payment arrangement?! '' Told me to "" borrow money from your mom ''. I repeatedly asked her if I was able to make a payment arrangement and she gave me no choice but to pay the amount in full. I told her I could not do that and she responded with "" I 'll just send this back to the company saying you are refusing to pay this! '' Which I was not. I repeated multiple times that I was not refusing to pay it. When I told her that I could set up a payment arrangement she laughed at the amount I gave her that I was willing to pay. She then hung up on me. I sincerely hope that the call was recorded because she was completely inappropriate and unwilling to make any arrangement. I hope this is not how the company conducts their business."
Bank account or service,"A refund was illegally refunded by XXXX to a closed debit/checking account w/ Citizens Bank XXXX After many phone calls into Citizens Bank, was finally able to find that the refund was in fact sent to my closed account & a check was issued for the refund one month later. After 4+ weeks of no check being received, I began to call into Citizens Bank requesting a re-issue be done as I still had not received the refund check that was righfully mine. Another week passed and they stated they were going to notify the correct department to place a stop payment on the check. Low and behold, two days later I received the check and I did call to make them aware that I had received the check. I received a phone call assuring me that the stop payment had not been placed on the check and it was ok to cash. Upon cashing the check on XXXX XXXX, 2015 when the refund was placed into my closed account on XXXX XXXX, 2015, I received a letter from my current institution on XXXX XXXX, 2015 via mail that there was a stop payment and that the funds had been withdrawn from my account. This refund was performed by XXXX on XXXX XXXX and I am still waiting for that refund as it has been 3 months. Who exactly is getting the interest on this said money that does n't belong to them yet make it ever so difficult to return to the rightful owner?"
Debt collection,"XXXX filed a lawsuit against me and on XX/XX/XXXX levied my entire bank account without notifying me of any of this. This is from a debt that is over 7 years old I believe, and that I had believed to have been settled years ago. I had no idea this debt was still active and no idea any lawsuit had been filed. The docket number I found out after I called because my bank account was levied is XXXX."
Credit card,"I made a purchase of {$500.00} on XXXX XXXX, 2015 using my Discover it card with XXXX. Discover was running a promotion offering 10 % cash back on purchases made using XXXX. Discover has not paid the 10 % cash back that was promised."
Credit card,"I received a letter from Chase indicating they had overcharged me on interest while I was recalled as a military reservist subject to SCRA protections. They refunded me approximately {$2600.00}. They then filed it as "" income '' with the IRS and sent me a XXXX. It was money I had already earned and paid taxes on which they wrongly charged me and then refunded. It was not income. I should not have to pay taxes twice on the same money. I sent them a letter in early XX/XX/XXXX, but they have not responded to my request for correction."
Student loan,"While I have tried to get AES to see reason ( see attached letter ) they are insisting on maintaining their slanderous position with the credit reporting agencies. As AES 's false statements are of a civil nature, I would have to take them to court, incurring substantial cost, in order to force them to report fairly and honestly. However, as the federal agency charged with protecting citizens from having lies and slanderous information reported on their credit reports, I implore you to force the credit agencies to strike all false information from my credit report. 

As anyone with eyes can see, these are XXXX invoices consisting of multiple consolidated loans against each. To report that I missed XXXX and XXXX payments, respectively, instead of XXXX payments total, is a lie and a violation of the Fair Credit Reporting Act. 

As the credit reporting agencies always seem to take the side of the reporting company ( which, I understand, pays a fee in order to report credit information ), citizens such as myself look to the Federal Credit Reporting Agency to protect us from what amounts to a monopoly on credit information, which we have extremely limited control over. 

Where is the equity in the system when XXXX missed payments can drop a credit score from XXXX to XXXX ( more than XXXX points ), especially when the payments were missed due to lack of a monthly billing being sent by eh creditor. 



This letter concerns late payments made by me for the reference ( XXXX ) and ( XXXX ) accounts, which are for the following Loan Sequences, respectively : Account Number : XXXX XXXX XXXX Loan Sequences : XXXX XXXX XXXX XXXX Account Number : XXXX XXXX XXXX Loan Sequences : XXXX XXXX While I admit that the XXXX 2015 payments for these accounts was made more than 30 days late, I did not receive a bill for XXXX. While I agree that I still would be responsible to make the payment, like most people, I pay my bills when I receive notification in the mail that it is due. 

When I called to dispute the information you reported to the credit bureaus, and informed them of the above, they advised that the XXXX billings for both accounts was sent out, according to your records. That XXXX be, but I did not receive them. I was also informed that I could set up automatic deductions from my bank accounts. I declined, as, due to identity theft concerns, I do not have any automatic deductions from my bank account. 

Once this error was made clear to me, I made sure that both accounts were up to date, as they are now. 

During the call, your representative indicated that she did not have the authority to remove the derogatory information from my credit report. She also stated that it was not legal to remove derogatory information from a credit report, which is not true. 

The derogatory information that AES reported to the credit bureaus is both unfair and in accurate. It is unfair because, as stated above, I did not receive a XXXX 2015 billing. It is inaccurate because it reports XXXX XXXX XXXX XXXX late payments, when in fact there were only XXXX XXXX XXXX XXXX. As shown above, and as detailed in the attachments, I only have XXXX XXXX XXXX XXXX accounts with AES. These accounts represent XXXX XXXX XXXX XXXX and XXXX XXXX XXXX XXXX XXXX Sequences, respectively, but they are not separate payments. Because this false derogatory information was reported to the credit bureaus, my credit score dropped XXXX points overnight. This represents slander, and resulting harm. 

Based on the above, I demand that AES remove the false, inaccurate and slanderous derogatory information from by credit reports. If this is not done within XXXX XXXX XXXX XXXX days, I will initiate legal action against AES and the credit bureaus for slander, with appropriate demands for monetary damages. 

I strongly advise you to take immediate action as directed herein."
Credit reporting,"I purchased a car on XXXX XXXX, 2014 from XXXX XXXX in XXXX, IL. I received a contract and drove off with the car that day. On XXXX XXXX, and XXXX XXXX, XXXX decided to run my credit report again to the same finance companies creating a total of XXXX inquiries on my credit report, since I bought the car on XXXX XXXX, 2014. I never gave permission for XXXX to run my credit again and for what. When I explained this to the credit bureau, XXXX XXXX, XXXX, and Experian, they informed me that hard inquiries ca n't be removed, because they were done by the consumer or credit holder. I was very upset, because I never authorized or give permission to those finance companies or XXXX to run my credit on XXXX XXXX, or XXXX XXXX, 2014. My credit score has dropped over XXXX points because of this. When I told XXXX, they said well we were trying to find a different 'finance company, if XXXX XXXX had approved me. I asked them to have it removed in XXXX, but they said I needed to dispute it with the credit bureau. Now I 'm back to here. I ca n't dispute it with the credit bureau, because they wo n't let me. They state that it is a hard inquiry so I ca n't dispute it. Can you please investigate? In the Experian report on pages XXXX shows the inquirees. Please notice the dates for XXXX, 2014 and the multiple inquiries. Thanks!"
Debt collection,"I used to live in Campus Habitat Apartments for 3 years from XX/XX/XXXX to XX/XX/XXXX. The place was filthy disgusting and consistently was being bought out by a new management company every few months. They also had buildings with condemned apartments in them and almost were shut down due to how disgusting they are. 

A few months before our lease ended, our kitchen started to leak water from somewhere. We did n't know if it was dishwasher, sink what it was but it got to the point that we had about XXXX-XXXX inches of standing water in our kitchen. We made numerous phone calls to the office asking for someone to come take care of it and they refused. We let them know that if they did not take care of it we would not pay rent until they did. So we lived there for 2 months without paying rent and the problem never being fixed. Our apartment continuing to leak water all over the kitchen every time we cleaned it up again. When we moved out, we went to the office to hand in our keys and let them know that we did not clean up all the towels and stuff we had on the floor due to the water damage because it was not our fault and we were disgusted. We also let them know that the rent would not be paid for that because part of our lease states they were to respond to maintenance requests and they never did so since they did n't hold up their end of the lease agreement, we would not pay. We lived with a flooded kitchen and disgusting smell of molded wet towels barely even able to cook or pack up in our kitchen. I gave them the address to our new apartment for my security deposit and such and left. 

1 year later I go to apply to a new complex with my boyfriend and I find that I am declined. When I ask why they state it was because I owe money to XXXX XXXX and that it 's on my credit report. This comes as a shock to me as I had moved out of that apartment over a year ago and have never received a phone call, letter, invoice nothing stating that I owed any money to them. I knew that I had refused to pay rent for 2 months but since they never sent anything to me asking for payment nor contacted me about it on the phone, I assumed they let it go as they were wrong by not making my apartment XXXX livable and I could take them to court over it. So I contacted them after looking at my credit report and seeing that on XX/XX/XXXX they placed me with a collections agency regarding my past due money. When I contacted them I asked what besides my rent they were trying to claim I owed them, as my rent was not enough to equate to {$1100.00} at all. They claimed I owed for some damages, repainting and re-carpeting and such as well because they had no record of anyone 's move in sheets that were filled out 3 years prior since they company had been bought out by so many different new management companies during that time. They also could not provide me with a written statement or invoice for a breakdown of the charges they told me just to come in and write a check. At this point it was also yet another company that owned them than what it was when I moved out. I expressed that I wanted a manager to call me back immediately to dispute this because it was absolutely obscene and I never received a phone call. To this day, I still have not received a phone call, written notice or invoice. Somehow they also could not explain why I never received a security deposit back or why that did not pay towards the balance. And I also now see that the complex themselves not only has YET ANOTHER new management company but they have an entirely new name for the apartments. I do not know who to contact to get this account off my credit report as a negative mark. I do n't know if I have to take them to small claims to dispute it and show them pictures of the disgusting hallways and apartments and condemned buildings with broken locks and all this information."
Mortgage,"Yesterday I received notice from XXXX, a credit reporting service I use, that my mortgage company, Ditech Financial LLC, had flagged my credit account for several "" 30-day late '' and "" Not more than two payments past due ( 2 ) '' negative designations. I have never been 30 days late mailing my monthly mortgage payment to Ditech, Green Tree, XXXX, or any of the various mortgage companies that have held my mortgage over the past 20 years. Ditech has flagged my account to give the false impression that I have a history of being late with my mortgage payments. When I tried to investigate these false accusations, none of the XXXX credit reporting agencies would allow me to check my credit report online for free, even though I was informed my credit file contained erroneous info. I tried to call Ditech, but their customer service people were off for the weekend. I tried to send them a message on their website, but was told the message option was n't working, so I had to call. I will call Ditech again Monday evening after I get off work. But here and now, I am respectfully requesting that I be allowed to view each of my XXXX credit files at no charge to see how many times my credit has been false marked with negative information and I am disputing any and all late payments. Thank you. XXXX, XXXX, MO XXXX P.S. One of the alerts I received yesterday indicated my XXXX 2016 mortgage payment was 30 days late. I am uploading my cancelled check which shows I was not 30 days late with my XXXX 2016 payment. Let me know if you need any other documents in order to prove that I do n't have a history of late payments. I 'll be glad to upload or mail you anything you need. Thanks again."
Credit reporting,"Did not open a loan in 2009 with XXXX. Nor did I co sign for anyone.Also, I never had a XXXX account. No mail for me has Ever been give that address on my behalf. Found out that it belongs to my ex husband."
Debt collection,"I was delinquent in paying a debt to XXXX XXXX XXXX XXXX for an emergency ambulance ride. Incidentally, I did call the Fire Department directly shortly after the date of service and attempted to pay over the phone. At that time, they did not have an electronic system in place to accept payment via debit/credit card and requested that I send in a check, which I did not do. I called back last month and attempted to pay the debt directly to them and they advised that they had already sent the account to collections with National Business Factors. 
As the debt was sent to National Business Factors , Inc., I was contacted via writing by them. Within ten days of receiving their collection letter, I contacted National Business Factors , Inc. directly and paid the original debt in its entirety. I refused to pay the interest as I did not enter into a contract with National Business Factors , Inc. and felt I had paid the bill completely. The bill from XXXX XXXX XXXX XXXX was for {$350.00} and on XXXX/XXXX/2015, this amount was paid to National Business Factors , Inc. 
I continued ( and still do ) to receive phone calls and letters from the collection agency threatening to ruin my credit if I do not pay the interest, which they report continues to accrue daily. 
I have contacted the collection agency on numerous occasions citing my belief that legally I do no owe this debt as I have not entered into a contract with them, therefore they can not charge me this interest. I have consulted the internet and state laws to learn that I am not legally responsible for this debt. They are aggressive with me when I attempt to communicate with them and continue to threaten my credit worthiness. 
The amount in question is only {$25.00}, though that compounds daily so is likely higher at this point. I am protesting out of principle, certainly not out of inability to pay the amount. I disagree with their collections tactics and do n't feel I owe this debt. 
Is it legal for a XXXX party collection agency to hold me responsible to them for their interest after the debt has already been paid off completely? And continue to compound the debt after the original debt has been paid? 

I 've attempted to attach supporting documents such as the original bill as well as evidence of payment and letters from National Business Factors but this system will not allow PDF files to be uploaded - I tired XXXX times and it freezes the system. I 'm happy to provide documentation if requested via email attachment."
Credit reporting,"To Whom It May Concern Please be advised I have request "" validation '' { not verification } of an items reported to the credit bureaus by XXXX. I have received a response that clearly violates my rights according to HIPAA. 

XXXX, did NOT provide me a HIPAA release that releases my medical information to them, therefore by providing such information they are in VIOLATIONS of my HIPAA rights. I am proceeding with legal action as prescribed by law against the above named original creditor/collection agency should this item not be deleted within the required time allowed by law. I will seek every legal remedy available to me and file suit against the credit bureau responsible for reporting this violation. 
I urge you to take this extremely seriously as I have documented my case without error. I encourage a response from you expeditiously."
Mortgage,Bank of America is not reporting correctly on my credit. They included my mortgage in a Bankruptcy when I had paperwork with in my bankruptcy indicating possible re-affirmation. I continued to make payments on time also indicating of a reaffirmation from XX/XX/XXXX to XX/XX/XXXX as per my HAMP modification. This is also not reported. I also paid loan off in full by refinancing and Bank of America is refusing to show the payments from XX/XX/XXXX to XX/XX/XXXX and status of account paid as agreed on credit. They are sure quick to show bad status by will not show anything good.
Mortgage,"My primary residence is in XXXX, and I have a mortgage loan with XXXX XXXX XXXX ( originally XXXX ) which is now serviced by Nationstar Mortgage. It is with Nationstar that I have problems with. I am a XXXX in XXXX, but I had a substantial drop of income as I lost a significant providers at the time. This caused me to be in delinquent with my mortgage loan. However, throughout the last year, I repeatedly contacted Nationstar to set up a payment plan. I even offered to pay $ XXXX per month until the loan was current. THEY REFUSED TO ACCEPT UNLESS THE ENTIRE $ XXXX WAS TENDERED. I had also offered them $ XXXX cash now and the rest on a 6 months payment plan, which they also refused. They filed a Notice of Default on XXXX XXXX, 2015, and the XXXX day is around the corner. They had me applied for a loan modification, but I still have no idea with the status is at the present. The reality is if this continues I will be forced to file a Chapter XXXX bankruptcy to prevent my house from being foreclosed. And once that is in place, Nationstar will get much less than what I am offer. This will also ruin my records and business. Therefore, I solicit the help from your office to see if there is anything your office can assist to get Nationstar to act rationally to all. Thank you."
Debt collection,I have contacted Portfolio several times to ask to show proof that this was my debt and they can not provide any information. They had removed it from my credit during the beginning of the year and now it is back on report. See attached correspondence and credit report.
Debt collection,"XX/XX/XXXX I signed up for fiber internet with XXXX. They delayed install 3 times and broke our contract. On the third delay, they agreed to cancel the install. This was XX/XX/XXXX. 

Soon after, I received a bill for around XXXX dollars. And soon after that calls from a collection agency. 

I cleared things up with centurylink in XX/XX/XXXX, but their credit agency just sent me a collection notice today XXXX XXXX, XXXX. 

They need to stop. At this point it 's annoying that I get punished because they ca n't keep track of their billing from one day to the next."
Debt collection,I returned the equipment as requested by XXXX and the collection amount remains the same. XXXX states that they never received the equipment. However I kept a receipt from their receiving center ( XXXX contracted XXXX to receive equipment on their behalf ) where the equipment was delivered. They also can not provide a detailed bill stating why it is {$1200.00}. Most of which I am sure were not authorized by myself. Charging me for services that I did not authorize does n't make sense nor is right.
Mortgage,"Ocwen Mortgage - they were over charging me for escrow on property tax. Overcharging me in excess of XXXX a year. I contacted them and they promised to correct it and send me a refund. I was told it was handled. So I started paying what I thought was the proper/adjusted mortgage payment. As a result they charged me with "" late payment '' with fees and it showed up on my credit report. This has been a negative mark on my credit. Finally after repeated calling they did take care of it and issued me a refund for overpayment. They never removed the credit errors of "" late payment ''"
Bank account or service,yes I did not receive an item from a merchant I advised my bank PNC and they issued a temporary credit but reversed it. By law if I do n't receive something even though it shows delivered to a mailbox I have rights to protect me instead of them working the case they denied my claim and I provided them with proof and claim and tracking information
Credit card,"Citi refused to generate my credit card statement for the month of XXXX. My last statement was generated on XXXX XXXX, and then I requested a change of statement date on XXXX XXXX, when a Citi rep told me that the request would n't affect XXXX ( 2015 ) statement generation. Now, Citi has refused to generate a statement for the month of XXXX, saying that the new statement will only be available on XXXX XXXX. 

As a result of this, I 'm not going to have a statement for the month of XXXX, and thus, I wo n't receive any signup bonus ( XXXX points ) that I was promised. I was planning to use the signup bonus ( worth {$660.00} ) to make a travel booking, and because of incorrect information given by a Citi rep, I will have to make alternative arrangements. 

When I pay {$450.00} annual fee for a credit card, I expect better service. Citi reps are very unhelpful."
Credit card,"In XX/XX/XXXX I received an alarming call from Portfolio Recovery Associates ( XXXX ) telling me that they were about to take me to court over my XXXX account -- which due to financial problems and XXXX -- had fallen into collection. PRA had bought the debt. Never having been in collection before, I panicked before asking for proof of their account ownership, and set up a payment of {$100.00} per month and a settlement of {$600.00} which had been originally a bill of {$800.00} owed to XXXX. I paid them from XX/XX/XXXX to XX/XX/XXXX. I was told at the time that I would be sent a letter of pay off - which I have never received. I am now on better financial footing and cleaning up my credit - I called PRA to get the letter and now they say they have no record of my account or payments. I told them I have the bank statement. They said that perhaps they had credited the payments to another account - but what worries me is that they have no record of my account at all. They told me to call XXXX to make sure they had the debt. So I called XXXX and they told me that they sold the debt - but could n't tell me to whom, or my old account # but they could call the buyer and they would contact me. Well, it 's been XXXX months and no one has called. So, I called PRA again this week they are still insisting that they do n't have my information, but to send them the bank statement - which I have done as of this Monday. the bottom line is that I can not figure this out, its still on my credit as open - and I am out {$600.00}. Please help me!."
Mortgage,"We are subject yet again, to more delays from JP Morgan Chase ( "" Chase '' ), under the pretense that they need more time to research our fraud complaint on the above loan modification. Always more time needed to research information. How many years of research do they need, when during the fiasco that Chase XXXX representatives advised me that my file at the company was empty. Nothing was recorded. Nothing in it about a verbal mortgage. Nothing in it about my payment to them was not accepted. Nothing in the file that stated how much I should pay each month for the mortgage. Almost two years of RESEARCHING?? or stonewalling!! Nothing to report but a regurgitation of incorrect information. And the man on the corner that holds up the grocery store gets to go to prison, and XXXX XXXX is still free to collect his millions each year. Well, XXXX XXXX is only the tip of the iceberg. Dishonest bunch the lot of them. 
It is totally unacceptable because we fervently believe they have no intention to come clean. Chase has acted in bad faith and knowingly and intentionally stonewalled our requests for closure on this matter. They wrongly believe that this matter will go away by simply dragging their feet on it. As a direct result, they requested XXXX delays through XX/XX/XXXX. XX/XX/XXXX is a corollary of the previous year. Just more unwarranted delays, with no end in sight. 
A few weeks ago, if someone related the misdeeds of XXXX XXXX, no one could ever fathom the brazen corruption that they perpetrated on their own customers. Chase 's fraud and misdeeds across the globe are legendary but there is still one vestige of the mortgage meltdown that needs vigorous investigation. Like XXXX XXXX, we too have insiders who witnessed and reported the callous ways in which Chase used deceptive practices to trigger a foreclosure on our above modification - through the aforementioned verbal mortgage. When this failed, they piled on excessive charges that destroyed the equity in our home. 
Again, we are not late or behind in any of our current payments to Chase. We are not asking for relief or a new modification. All we are asking for is a full and fair investigation into what we believe is the fraudulent activities in our mortgage loan modification, after Chase took it over from Washington Mutual. Most important, since you are now wrapping up proceedings on XXXX XXXX, this would be an opportune time to turn your attention to Chase - where we have insiders that confirmed their misdeeds. I am willing and very able to testify before Congress. 
Please advise how you would like to proceed on the above because we believe only a criminal investigation will force Chase to finally come clean on how we and perhaps countless other mortgage holders were defrauded. Looking forward to a speedy resolution. 
I have extended the courtesy of not going public with what I know, to give JP Morgan Chase the opportunity to make things right. Obviously they seem not to have any desire to do so. I guess they would like to be the next one on the hot seat with Senator XXXX XXXX asking the questions. That I can arrange for them."
Mortgage,"We paid our mortgage to Carrington Mortgage on XXXX/XXXX/16 - through their online payment system - where our banking information was stored. The system generated a confirmation number. We received a letter XXXX/XXXX/16 confirming this payment and confirmation number. We then received a mortgage statement from Carrington Mortgage dated XXXX/XXXX/16 showing the mortgage payment applied XXXX/XXXX/16. Then about XXXX/XXXX/16 we received a letter stating that the payment was rejected due to account not being found. On XXXX/XXXX/16 we paid the mortgage again through Carrington Mortgage system - utilizing the same stored banking information that had previously been used for the majority of this account payment transactions. The system again generated a confirmation number and sent a letter XXXX/XXXX/16 confirming that the payment had been processed. About XXXX/XXXX/16 we received another letter stating that the payment had been rejected due to account not being found. We then called Carrington Mortgage customer service and had a customer service rep assist with making the payment. The system generated a confirmation number. Then we received a mortgage statement from Carrington Mortgage XXXX/XXXX/16 showing the XXXX/XXXX/16 payment reversed, the XXXX/XXXX/16 ( {$1300.00} ) payment applied, and the XXXX/XXXX/16 payment ( {$1300.00} ) reversed, a pay by phone bill fee ( {$5.00} ) charged, XXXX/XXXX/16 payment applied, and a single item ( late fee - {$42.00} ) charged. 
We called Carrington Mortgage in XXXX after we noticed that the mortgage payment for XXXX 2016 had been reported late on our credit reports. I asked why was there a late charge being reported on our credit reports. I was told because the payment had been 30 days late. I explained the situation - telling the representative that we had pay the mortgage account online as we had done in the past - the system generated a confirmation number and we believe that the account had been paid - until received the letter in the mail - on both occurrences. The customer service rep explained that getting a confirmation number does not mean the account was paid - just that it was attempting to be paid. I told her with other systems a confirmation number generally mean a payment has been accepted and processed. The rep stated it was a key stroke error and that there was nothing they could do. It was not there fault. 
About XX/XX/XXXX I called Carrington Mortgage customer service again and asked to speak with a manager. A manager never came to the phone - but gave responses back and forth with the customer service rep and said that it was not that they could do again because it was not their fault. I explained that in 16 years we had never been late on this loan and this error in their payment processing system had significantly lower our credit scores and that we were in the process of selling the home attached to that mortgage account and purchasing another. And that this action could greatly hinder our ability to purchase our new home. The rep stated that the manager said that they could not do anything. The representative suggested to write to their customer research department to dispute the action. 
On XXXX/XXXX/16 I faxed a letter to their customer research department explaining that situation and asked for immediate action to be taken to remove the negative reporting for our credit reports. We supplied them with their own documentation. I called the next business day to see had they received the request and was told it would take 30 days. I called every business day after to see if they had received it and updated it. 
On XXXX/XXXX/16 I called Carrington Mortgage and was informed that they would not be updating our account information as it was not their fault and that we would receive a letter stating our account would not be updated to reflect that the account had not been late and that it was not their fault."
Debt collection,"Portfolio Recoveries has been contacting me repeatedly on both my cell phone numbers as well as my home phone number daily, for over a year regarding an aged debt. After verifying the original date of delinquency from an older credit report, I then compared it to a more current XXXX and saw that the debt had been re-aged. I immediately disputed the validity of the debt with the credit bureaus who moved the account earlier in 2015. The calls had stopped temporarily, then started again and it began relentless. I even told the person the debt was aged and they continued to call. At XXXX point, I said that debt was no longer mine with the though process that since the debt was no longer collectible, that would be the correct tactic. To no avail, the calls will not stop."
Credit reporting,"I have been trying to clean my credit report up. I have XXXX things on my report that are over 7 yrs old and experian deleted the main XXXX. On my report DHS CS has put my child support on XXXX. I disputed it and it should be removed because its over XXXX yrs old. But they allowed XXXX to change the date and make it a XXXX date open which makes no sense. I also found out by National collections that in XXXXthat they notified all XXXX major credit agencies that fines and arrest warrants were to be taken off. They are still on there and there 's more that that. XXXX is now adding inquiries on my report from XXXX. An investigation by your office should be done by ur office. Also, on my reports is a school loan from XXXX and that is over 7 yrs old and should be removed as well. When I asked the lady at XXXX if they verified information put on the report her answer was "" we have no way of knowing if the information is valid or not. '' I have XXXX items knocked off and XXXX more ready to be knocked of and XXXX, XXXX reports that should be. Now they are adding inquiries that were not on there before? There are also many inquiries not initiated approved by me and they refuse to take them off. Please investigate my credit with all XXXX major credit agencies."
Debt collection,"I 've sent multiple letters to this agency about this not being my account. After being advised by identitytheft.gov, I 've completed and sent a fraud affidavit via certified mail. I can see they received it, but nothing has changed. See supporting documents. Even the USPS tracking. 
I am a victim of identity theft and noticed a collection from Central Final Control. I 've attempted to dispute multiple times, however, no response on their end. Not sure what else to do. The police department told me to contact the federal trade commission which I wrote a formal complaint against Central financial control in regards to this matter. The FTC also instructed me to complete a theft affidavit through identity theft.gov. Attached is my document. Thank you"
Mortgage,"We went through the process of a loan modification, the loan was taken over by a new mortgage agency : Seterus. The loan Mod finished in late 2014, my x-wife has been making every payment via phone on her own initiation because Seterus did not file the account properly, they had it as a default on a loan and an ongoing debt not being paid. My x-wife and I had files all the paperwork with them and they do have it, every phone call they tell us YES we have the divorce agreement, we have the quitclaim deed, we have the loan modification paperwork but for some reason its showing a defaulted loan. They go on to tell us they will pass it up to another department to be changed to the correct form. In the meantime they are hitting both myself and my x-wife 's credit report month after month based on a mistake in their system. Now I 'm being harrased XXXX times a day by their debt collections department at XXXX, every month we go through the same process of telling them they have the correct paperwork and every month they tell us they do n't talk to other departments and they need XXXX - XXXX XXXX in unpaid funds, yet they see it was a modification and they have all the proper paperwork, and every month my credit reports are being hit with wrong information and my score is suffering terribly. I 've exhausted everything I can do to try and get Seterus to fix the files in their own systems. My X-wife recently told me that they had a debt attached to our name based on a property and address that we never resided in, we never purchased or had any loans toward and I still do not know what the resolution of that issue was."
Credit card,"I was a former Well Fargo Bank ( WFB ) Credit Card customer since XX/XX/2013, this card was marketed by WFB as a way to improve an individual credit score and the capacity to earn cash rewards for its use. The rates associates to this card were higher than other usual account but the WFB representatives reason on the offering that the rate did not matter because the opportunity to earn rewards was extensive. So I signed up for this card. I was used to making purchases with this card and the earning started to accumulate and when they started to reach higher and higher credit for the use toward me - WFB without warning, or ability to cash the rewards decided to cancel my credit card effective immediately without the opportunity to cash my rewards and they keep over {$300.00} in cash rewards that I had earned. I do n't dispute the cancellation policy but the cancellation without notice amounts to change of terms for earnings received and a taken. Other credit cards issuers like XXXX even after cancellation allow consumers the opportunity to cash their rewards even after cancellation of the credit card. 
Wells does not. Wells takes consumers monies by the enacting of this policy. Their policy is deceitful and its based on unfair business dealings."
Bank account or service,"I am indisputably owed {$2500.00} from Chase. I was a victim of identity fraud through my Chase checking account when, on XXXX XXXX, 2016, a Chase banker issued a new chip debit card to someone impersonating me in West Virginia while I was traveling in XXXX and that person used that new card to withdraw {$2500.00} from my account. Because of this, Chase closed my checking account but withheld the {$2500.00} from me because it was still "" under investigation. '' Chase completed the investigation and acknowledged on or about XXXX XXXX that the {$2500.00} was fraudulently withdrawn and that the remaining funds Chase kept while conducting the investigation ( {$2500.00} ) should be returned to me. I have made multiple calls to Chase and each representative told me to wait for the claim to be finalized before I would receive my {$2500.00} back and that they had until XXXX XXXX, 2016 to do so. I do now know why it took them another six weeks to finalize a claim that had been resolved XX/XX/XXXX. The claim was in fact finalized on XXXX XXXX and I was told a {$2500.00} check would be released to me and that I had to wait for 7-10 business days for this to arrive in the mail. I did NOT receive this check by XXXX XXXX and called again on XXXX XXXX and was told the funds were still "" in suspension '' and had not been released yet but was promised that they would be released in 1-2 days and then a check overnighted to me and that I would receive a check by Monday XXXX XXXX. I did NOT receive a check by XXXX XXXX, so I called again and being told again that I must wait another 10 business days to receive this check. I have called to manage this at least 15 times over the past 3 months since this identity theft occurred. I have been told repeatedly that I needed to wait to receive a check and the new deadline passes and then I 'm told to wait again. I speak with a different person each time, including multiple supervisors, who all promise to call me back but I have never received even one phone call back. No one will give me a way to reach them so I start over each time with a new person each time I call. Each time I call I am then told something different by someone else, regardless of what "" the notes '' say from my prior call, and each time I am told to wait again. It is now 20 days past the finalization of this claim and there is still no one who will assure me that this {$2500.00} is being sent to me."
Mortgage,"I called Seterus as I did get a late letter notice. But I also wanted a detaile escrow statement for 2015 with all payments & the breakdown of my taxes and home insurance. When I called, I was connected to XXXX and he found my payment was in escrow, not sure why. But I also asked him for this detailed printout. I had to call him back with my loan number and I got XXXX XXXX. Needless to say, this young kid was not only rude, he talked over me and all I wanted was this printout which I am entitled to. 
I have had several issues with Seterus in the past but I have been ahead with my payments in the past years, even paying more on principle. So my request should not be something that causes a customer service rep to get nasty about. 
This was on XXXX XXXX of this year and I have yet to receive my escrow printout."
